# WS4-CONSTRUCTED PM generator efficiency map (shaft -> DC bus, incl. active rectifier) - NOT measured
# generator: GEN-V2 IPM 135, cont 135.0 kW shaft in, loss model c_h=0.5, c_e=0.7, k_cu=0.0612 kW/(100Nm)^2, pe0=0.15 kW + 1% of P_elec
# G1-R/R10 restatement: DC side on the pack-native window (662.4 V nominal, 432.0-748.8 V operating, 777.6 V 10-s transient), 1200 V-class SiC rectifier devices; loss coefficients carried unchanged at the new window [WS4-DECLARED, confirm at procurement]. Per R12 this genset-side rectifier/conditioning stage lives in WS4's ledger; no scalar PE member exists on the traction side.
rpm,p_shaft_kW,eta_shaft_to_bus
1600,113.4,0.9556
1600,118.2,0.9550
1600,123.1,0.9543
1600,127.9,0.9536
1600,132.7,0.9529
1600,137.6,0.9521
1600,142.4,0.9514
1700,2.0,0.3726
1700,7.1,0.8161
1700,12.3,0.8874
1700,17.4,0.9160
1700,22.6,0.9312
1700,27.7,0.9403
1700,32.9,0.9463
1700,38.0,0.9504
1700,43.2,0.9533
1700,48.3,0.9553
1700,53.5,0.9568
1700,58.6,0.9578
1700,63.8,0.9586
1700,68.9,0.9590
1700,74.1,0.9593
1700,79.2,0.9594
1700,84.4,0.9593
1700,89.5,0.9592
1700,94.7,0.9590
1700,99.8,0.9586
1700,105.0,0.9583
1700,110.1,0.9578
1700,115.3,0.9574
1700,120.4,0.9568
1700,125.6,0.9563
1700,130.7,0.9557
1700,135.9,0.9550
1700,141.0,0.9544
1700,146.2,0.9537
1700,151.3,0.9530
1800,2.0,0.3214
1800,7.3,0.8052
1800,12.6,0.8815
1800,17.8,0.9121
1800,23.1,0.9283
1800,28.4,0.9382
1800,33.7,0.9446
1800,38.9,0.9491
1800,44.2,0.9523
1800,49.5,0.9546
1800,54.8,0.9564
1800,60.0,0.9576
1800,65.3,0.9585
1800,70.6,0.9591
1800,75.9,0.9595
1800,81.1,0.9598
1800,86.4,0.9599
1800,91.7,0.9599
1800,97.0,0.9598
1800,102.2,0.9596
1800,107.5,0.9593
1800,112.8,0.9590
1800,118.1,0.9586
1800,123.3,0.9582
1800,128.6,0.9578
1800,133.9,0.9573
1800,139.2,0.9568
1800,144.4,0.9562
1800,149.7,0.9556
1800,155.0,0.9550
1900,2.0,0.2682
1900,7.3,0.7906
1900,12.6,0.8732
1900,17.8,0.9064
1900,23.1,0.9241
1900,28.4,0.9349
1900,33.7,0.9421
1900,38.9,0.9471
1900,44.2,0.9507
1900,49.5,0.9534
1900,54.8,0.9554
1900,60.0,0.9569
1900,65.3,0.9580
1900,70.6,0.9588
1900,75.9,0.9595
1900,81.1,0.9599
1900,86.4,0.9602
1900,91.7,0.9603
1900,97.0,0.9604
1900,102.2,0.9603
1900,107.5,0.9602
1900,112.8,0.9600
1900,118.1,0.9598
1900,123.3,0.9595
1900,128.6,0.9592
1900,133.9,0.9588
1900,139.2,0.9584
1900,144.4,0.9580
1900,149.7,0.9575
1900,155.0,0.9571
2000,2.0,0.2127
2000,7.3,0.7755
2000,12.6,0.8645
2000,17.8,0.9005
2000,23.1,0.9196
2000,28.4,0.9314
2000,33.7,0.9393
2000,38.9,0.9448
2000,44.2,0.9488
2000,49.5,0.9519
2000,54.8,0.9542
2000,60.0,0.9559
2000,65.3,0.9573
2000,70.6,0.9583
2000,75.9,0.9591
2000,81.1,0.9597
2000,86.4,0.9602
2000,91.7,0.9605
2000,97.0,0.9607
2000,102.2,0.9608
2000,107.5,0.9608
2000,112.8,0.9607
2000,118.1,0.9606
2000,123.3,0.9605
2000,128.6,0.9602
2000,133.9,0.9600
2000,139.2,0.9597
2000,144.4,0.9594
2000,149.7,0.9590
2000,155.0,0.9587
2100,2.0,0.1551
2100,7.3,0.7597
2100,12.6,0.8555
2100,17.8,0.8942
2100,23.1,0.9149
2100,28.4,0.9277
2100,33.7,0.9363
2100,38.9,0.9423
2100,44.2,0.9468
2100,49.5,0.9502
2100,54.8,0.9528
2100,60.0,0.9548
2100,65.3,0.9564
2100,70.6,0.9576
2100,75.9,0.9586
2100,81.1,0.9594
2100,86.4,0.9600
2100,91.7,0.9604
2100,97.0,0.9607
2100,102.2,0.9610
2100,107.5,0.9611
2100,112.8,0.9612
2100,118.1,0.9612
2100,123.3,0.9611
2100,128.6,0.9610
2100,133.9,0.9609
2100,139.2,0.9607
2100,144.4,0.9604
2100,149.7,0.9602
2100,155.0,0.9599
2200,2.0,0.0954
2200,7.3,0.7434
2200,12.6,0.8461
2200,17.8,0.8877
2200,23.1,0.9100
2200,28.4,0.9238
2200,33.7,0.9331
2200,38.9,0.9397
2200,44.2,0.9446
2200,49.5,0.9483
2200,54.8,0.9512
2200,60.0,0.9534
2200,65.3,0.9553
2200,70.6,0.9567
2200,75.9,0.9579
2200,81.1,0.9588
2200,86.4,0.9595
2200,91.7,0.9601
2200,97.0,0.9606
2200,102.2,0.9609
2200,107.5,0.9612
2200,112.8,0.9614
2200,118.1,0.9615
2200,123.3,0.9615
2200,128.6,0.9615
2200,133.9,0.9615
2200,139.2,0.9614
2200,144.4,0.9612
2200,149.7,0.9611
2200,155.0,0.9609
2300,2.0,0.0336
2300,7.3,0.7265
2300,12.6,0.8364
2300,17.8,0.8810
2300,23.1,0.9049
2300,28.4,0.9197
2300,33.7,0.9298
2300,38.9,0.9369
2300,44.2,0.9422
2300,49.5,0.9463
2300,54.8,0.9495
2300,60.0,0.9520
2300,65.3,0.9540
2300,70.6,0.9556
2300,75.9,0.9570
2300,81.1,0.9581
2300,86.4,0.9589
2300,91.7,0.9597
2300,97.0,0.9602
2300,102.2,0.9607
2300,107.5,0.9611
2300,112.8,0.9614
2300,118.1,0.9616
2300,123.3,0.9617
2300,128.6,0.9618
2300,133.9,0.9618
2300,139.2,0.9618
2300,144.4,0.9618
2300,149.7,0.9617
2300,155.0,0.9616
2400,2.0,0.0000
2400,7.3,0.7089
2400,12.6,0.8263
2400,17.8,0.8739
2400,23.1,0.8996
2400,28.4,0.9155
2400,33.7,0.9262
2400,38.9,0.9339
2400,44.2,0.9397
2400,49.5,0.9441
2400,54.8,0.9476
2400,60.0,0.9503
2400,65.3,0.9526
2400,70.6,0.9544
2400,75.9,0.9559
2400,81.1,0.9572
2400,86.4,0.9582
2400,91.7,0.9590
2400,97.0,0.9598
2400,102.2,0.9603
2400,107.5,0.9608
2400,112.8,0.9612
2400,118.1,0.9615
2400,123.3,0.9617
2400,128.6,0.9619
2400,133.9,0.9620
2400,139.2,0.9621
2400,144.4,0.9621
2400,149.7,0.9621
2400,155.0,0.9621
2500,2.0,0.0000
2500,7.3,0.6908
2500,12.6,0.8159
2500,17.8,0.8666
2500,23.1,0.8940
2500,28.4,0.9110
2500,33.7,0.9226
2500,38.9,0.9308
2500,44.2,0.9370
2500,49.5,0.9418
2500,54.8,0.9456
2500,60.0,0.9486
2500,65.3,0.9511
2500,70.6,0.9531
2500,75.9,0.9547
2500,81.1,0.9561
2500,86.4,0.9573
2500,91.7,0.9583
2500,97.0,0.9591
2500,102.2,0.9598
2500,107.5,0.9604
2500,112.8,0.9609
2500,118.1,0.9613
2500,123.3,0.9616
2500,128.6,0.9618
2500,133.9,0.9620
2500,139.2,0.9622
2500,144.4,0.9623
2500,149.7,0.9623
2500,155.0,0.9624
2600,2.0,0.0000
2600,7.3,0.6721
2600,12.6,0.8051
2600,17.8,0.8591
2600,23.1,0.8882
2600,28.4,0.9064
2600,33.7,0.9187
2600,38.9,0.9276
2600,44.2,0.9342
2600,49.5,0.9394
2600,54.8,0.9434
2600,60.0,0.9467
2600,65.3,0.9494
2600,70.6,0.9516
2600,75.9,0.9535
2600,81.1,0.9550
2600,86.4,0.9563
2600,91.7,0.9574
2600,97.0,0.9584
2600,102.2,0.9592
2600,107.5,0.9598
2600,112.8,0.9604
2600,118.1,0.9609
2600,123.3,0.9613
2600,128.6,0.9616
2600,133.9,0.9619
2600,139.2,0.9621
2600,144.4,0.9623
2600,149.7,0.9624
2600,155.0,0.9625
2700,2.0,0.0000
2700,7.3,0.6527
2700,12.6,0.7939
2700,17.8,0.8513
2700,23.1,0.8823
2700,28.4,0.9016
2700,33.7,0.9147
2700,38.9,0.9242
2700,44.2,0.9313
2700,49.5,0.9368
2700,54.8,0.9412
2700,60.0,0.9447
2700,65.3,0.9476
2700,70.6,0.9500
2700,75.9,0.9520
2700,81.1,0.9537
2700,86.4,0.9552
2700,91.7,0.9564
2700,97.0,0.9575
2700,102.2,0.9584
2700,107.5,0.9592
2700,112.8,0.9598
2700,118.1,0.9604
2700,123.3,0.9609
2700,128.6,0.9613
2700,133.9,0.9616
2700,139.2,0.9619
2700,144.4,0.9622
2700,149.7,0.9624
2700,155.0,0.9625
2800,2.0,0.0000
2800,7.3,0.6328
2800,12.6,0.7824
2800,17.8,0.8432
2800,23.1,0.8761
2800,28.4,0.8966
2800,33.7,0.9106
2800,38.9,0.9207
2800,44.2,0.9283
2800,49.5,0.9342
2800,54.8,0.9388
2800,60.0,0.9426
2800,65.3,0.9458
2800,70.6,0.9484
2800,75.9,0.9505
2800,81.1,0.9524
2800,86.4,0.9540
2800,91.7,0.9553
2800,97.0,0.9565
2800,102.2,0.9575
2800,107.5,0.9584
2800,112.8,0.9591
2800,118.1,0.9598
2800,123.3,0.9604
2800,128.6,0.9609
2800,133.9,0.9613
2800,139.2,0.9616
2800,144.4,0.9619
2800,149.7,0.9622
2800,155.0,0.9624
2900,2.0,0.0000
2900,7.3,0.6123
2900,12.6,0.7706
2900,17.8,0.8349
2900,23.1,0.8698
2900,28.4,0.8915
2900,33.7,0.9063
2900,38.9,0.9170
2900,44.2,0.9251
2900,49.5,0.9314
2900,54.8,0.9364
2900,60.0,0.9404
2900,65.3,0.9438
2900,70.6,0.9466
2900,75.9,0.9489
2900,81.1,0.9509
2900,86.4,0.9527
2900,91.7,0.9541
2900,97.0,0.9554
2900,102.2,0.9565
2900,107.5,0.9575
2900,112.8,0.9584
2900,118.1,0.9591
2900,123.3,0.9597
2900,128.6,0.9603
2900,133.9,0.9608
2900,139.2,0.9612
2900,144.4,0.9616
2900,149.7,0.9619
2900,155.0,0.9622
3000,2.0,0.0000
3000,7.3,0.5912
3000,12.6,0.7584
3000,17.8,0.8264
3000,23.1,0.8632
3000,28.4,0.8862
3000,33.7,0.9019
3000,38.9,0.9132
3000,44.2,0.9218
3000,49.5,0.9285
3000,54.8,0.9338
3000,60.0,0.9381
3000,65.3,0.9417
3000,70.6,0.9447
3000,75.9,0.9472
3000,81.1,0.9494
3000,86.4,0.9512
3000,91.7,0.9529
3000,97.0,0.9543
3000,102.2,0.9555
3000,107.5,0.9565
3000,112.8,0.9575
3000,118.1,0.9583
3000,123.3,0.9590
3000,128.6,0.9597
3000,133.9,0.9602
3000,139.2,0.9607
3000,144.4,0.9612
3000,149.7,0.9615
3000,155.0,0.9619
