# WS4-CONSTRUCTED PM generator efficiency map (shaft -> DC bus, incl. active rectifier) - NOT measured
# generator: GEN-V1 IPM 60, cont 60.0 kW shaft in, loss model c_h=0.3, c_e=0.4, k_cu=0.199 kW/(100Nm)^2, pe0=0.15 kW + 1% of P_elec
# G1-R/R10 restatement: DC side on the pack-native window (662.4 V nominal, 432.0-748.8 V operating, 777.6 V 10-s transient), 1200 V-class SiC rectifier devices; loss coefficients carried unchanged at the new window [WS4-DECLARED, confirm at procurement]. Per R12 this genset-side rectifier/conditioning stage lives in WS4's ledger; no scalar PE member exists on the traction side.
rpm,p_shaft_kW,eta_shaft_to_bus
2300,41.9,0.9478
2300,44.2,0.9485
2300,46.6,0.9491
2300,48.9,0.9495
2300,51.2,0.9498
2300,53.6,0.9500
2300,55.9,0.9501
2300,58.3,0.9501
2300,60.6,0.9501
2300,63.0,0.9501
2300,65.3,0.9499
2300,67.7,0.9498
2300,70.0,0.9495
2400,2.0,0.3652
2400,4.3,0.7014
2400,6.7,0.8014
2400,9.0,0.8491
2400,11.4,0.8768
2400,13.7,0.8948
2400,16.1,0.9074
2400,18.4,0.9165
2400,20.8,0.9235
2400,23.1,0.9288
2400,25.4,0.9331
2400,27.8,0.9365
2400,30.1,0.9393
2400,32.5,0.9415
2400,34.8,0.9434
2400,37.2,0.9449
2400,39.5,0.9462
2400,41.9,0.9472
2400,44.2,0.9481
2400,46.6,0.9488
2400,48.9,0.9493
2400,51.2,0.9497
2400,53.6,0.9501
2400,55.9,0.9503
2400,58.3,0.9505
2400,60.6,0.9506
2400,63.0,0.9506
2400,65.3,0.9506
2400,67.7,0.9505
2400,70.0,0.9504
2500,2.0,0.3270
2500,4.3,0.6839
2500,6.7,0.7901
2500,9.0,0.8408
2500,11.4,0.8704
2500,13.7,0.8896
2500,16.1,0.9030
2500,18.4,0.9128
2500,20.8,0.9203
2500,23.1,0.9261
2500,25.4,0.9307
2500,27.8,0.9344
2500,30.1,0.9375
2500,32.5,0.9400
2500,34.8,0.9420
2500,37.2,0.9438
2500,39.5,0.9452
2500,41.9,0.9464
2500,44.2,0.9474
2500,46.6,0.9483
2500,48.9,0.9489
2500,51.2,0.9495
2500,53.6,0.9500
2500,55.9,0.9503
2500,58.3,0.9506
2500,60.6,0.9508
2500,63.0,0.9510
2500,65.3,0.9510
2500,67.7,0.9511
2500,70.0,0.9510
2600,2.0,0.2876
2600,4.3,0.6658
2600,6.7,0.7785
2600,9.0,0.8323
2600,11.4,0.8637
2600,13.7,0.8842
2600,16.1,0.8985
2600,18.4,0.9090
2600,20.8,0.9170
2600,23.1,0.9232
2600,25.4,0.9282
2600,27.8,0.9322
2600,30.1,0.9355
2600,32.5,0.9382
2600,34.8,0.9405
2600,37.2,0.9425
2600,39.5,0.9441
2600,41.9,0.9454
2600,44.2,0.9466
2600,46.6,0.9476
2600,48.9,0.9484
2600,51.2,0.9491
2600,53.6,0.9497
2600,55.9,0.9501
2600,58.3,0.9505
2600,60.6,0.9508
2600,63.0,0.9511
2600,65.3,0.9512
2600,67.7,0.9514
2600,70.0,0.9514
2700,2.0,0.2470
2700,4.3,0.6472
2700,6.7,0.7664
2700,9.0,0.8235
2700,11.4,0.8568
2700,13.7,0.8785
2700,16.1,0.8937
2700,18.4,0.9049
2700,20.8,0.9134
2700,23.1,0.9201
2700,25.4,0.9255
2700,27.8,0.9298
2700,30.1,0.9334
2700,32.5,0.9364
2700,34.8,0.9389
2700,37.2,0.9410
2700,39.5,0.9428
2700,41.9,0.9443
2700,44.2,0.9456
2700,46.6,0.9467
2700,48.9,0.9477
2700,51.2,0.9485
2700,53.6,0.9492
2700,55.9,0.9498
2700,58.3,0.9503
2700,60.6,0.9507
2700,63.0,0.9510
2700,65.3,0.9513
2700,67.7,0.9515
2700,70.0,0.9516
2800,2.0,0.2052
2800,4.3,0.6280
2800,6.7,0.7540
2800,9.0,0.8144
2800,11.4,0.8496
2800,13.7,0.8726
2800,16.1,0.8888
2800,18.4,0.9007
2800,20.8,0.9098
2800,23.1,0.9169
2800,25.4,0.9226
2800,27.8,0.9273
2800,30.1,0.9311
2800,32.5,0.9344
2800,34.8,0.9371
2800,37.2,0.9394
2800,39.5,0.9413
2800,41.9,0.9430
2800,44.2,0.9445
2800,46.6,0.9457
2800,48.9,0.9468
2800,51.2,0.9477
2800,53.6,0.9485
2800,55.9,0.9492
2800,58.3,0.9498
2800,60.6,0.9503
2800,63.0,0.9508
2800,65.3,0.9511
2800,67.7,0.9514
2800,70.0,0.9516
2900,2.0,0.1621
2900,4.3,0.6082
2900,6.7,0.7413
2900,9.0,0.8050
2900,11.4,0.8422
2900,13.7,0.8666
2900,16.1,0.8837
2900,18.4,0.8963
2900,20.8,0.9059
2900,23.1,0.9135
2900,25.4,0.9196
2900,27.8,0.9246
2900,30.1,0.9287
2900,32.5,0.9322
2900,34.8,0.9351
2900,37.2,0.9376
2900,39.5,0.9398
2900,41.9,0.9416
2900,44.2,0.9432
2900,46.6,0.9446
2900,48.9,0.9458
2900,51.2,0.9469
2900,53.6,0.9478
2900,55.9,0.9486
2900,58.3,0.9492
2900,60.6,0.9498
2900,63.0,0.9504
2900,65.3,0.9508
2900,67.7,0.9512
2900,70.0,0.9515
3000,2.0,0.1179
3000,4.3,0.5879
3000,6.7,0.7281
3000,9.0,0.7953
3000,11.4,0.8346
3000,13.7,0.8603
3000,16.1,0.8784
3000,18.4,0.8917
3000,20.8,0.9020
3000,23.1,0.9100
3000,25.4,0.9165
3000,27.8,0.9218
3000,30.1,0.9262
3000,32.5,0.9299
3000,34.8,0.9331
3000,37.2,0.9358
3000,39.5,0.9381
3000,41.9,0.9401
3000,44.2,0.9418
3000,46.6,0.9433
3000,48.9,0.9447
3000,51.2,0.9458
3000,53.6,0.9469
3000,55.9,0.9478
3000,58.3,0.9485
3000,60.6,0.9492
3000,63.0,0.9498
3000,65.3,0.9504
3000,67.7,0.9508
3000,70.0,0.9512
