t_s,v_kmh,v_ms,grade_pct,dist_m,P_wheel_kW
178.0000,48.8712,13.5753,0.0000,2354.4410,12.6224
179.0000,48.8411,13.5670,0.0000,2368.0094,15.2900
180.0000,48.8809,13.5780,0.0000,2381.5827,14.4460
181.0000,48.8360,13.5655,0.0000,2395.1577,9.3036
182.0000,48.6912,13.5253,0.0000,2408.6991,11.8451
183.0000,48.7161,13.5322,0.0000,2422.2227,15.5381
184.0000,48.6980,13.5272,0.0000,2435.7556,11.4038
185.0000,48.5287,13.4802,0.0000,2449.2603,10.2264
186.0000,48.4789,13.4664,0.0000,2462.7298,14.8754
187.0000,48.6333,13.5093,0.0000,2476.2127,19.6569
188.0000,48.8020,13.5561,0.0000,2489.7476,18.4154
189.0000,49.0672,13.6298,0.0000,2503.3388,21.0197
190.0000,49.3474,13.7076,0.0000,2517.0066,22.1246
191.0000,49.5626,13.7674,0.0000,2530.7477,18.9583
192.0000,49.6910,13.8031,0.0000,2544.5372,14.3543
193.0000,49.7107,13.8085,0.0000,2558.3428,14.0467
194.0000,49.7210,13.8114,0.0000,2572.1488,17.1595
195.0000,49.8181,13.8384,0.0000,2585.9739,16.9522
196.0000,49.8852,13.8570,0.0000,2599.8223,16.1764
197.0000,49.9276,13.8688,0.0000,2613.6857,15.6858
198.0000,49.9543,13.8762,0.0000,2627.5584,15.3757
199.0000,49.9712,13.8809,0.0000,2641.4371,15.1799
200.0000,49.9818,13.8838,0.0000,2655.3196,15.0563
201.0000,49.9885,13.8857,0.0000,2669.2044,14.9783
202.0000,49.9928,13.8869,0.0000,2683.0908,14.9290
203.0000,49.9954,13.8876,0.0000,2696.9780,14.8980
204.0000,49.9971,13.8881,0.0000,2710.8659,14.8783
205.0000,49.9982,13.8884,0.0000,2724.7542,14.8660
206.0000,49.9989,13.8886,0.0000,2738.6426,14.8582
207.0000,49.9993,13.8887,0.0000,2752.5313,14.8532
208.0000,49.9995,13.8888,0.0000,2766.4200,14.8501
209.0000,49.9997,13.8888,0.0000,2780.3088,14.8481
210.0000,49.9998,13.8888,0.0000,2794.1976,14.8469
211.0000,49.9984,13.8884,0.0000,2808.0864,14.7172
212.0000,49.9977,13.8883,0.0000,2821.9746,14.8715
213.0000,47.1446,13.0957,0.0000,2835.6119,-105.4572
214.0000,42.3889,11.7747,0.0000,2848.0471,-95.7939
