vehicle,duty,case,component,kWh_min,kWh_median,kWh_max,mean_kW_max,peak_kW,roll120s_mean_kW_max,roll600s_mean_kW_max,split_exhaust_kWh_median,split_coolant_oil_kWh_median,split_cac_kWh_median,resistor_share_lower_bound_kWh_median,max_governing_case
ruler,VOLT-REG,nominal,ruler driveline + accessories (shaft - wheel),12.1277,12.2039,12.2784,6.7277,,,,,,,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [nominal]
ruler,VOLT-REG,nominal,ruler friction brakes (all braking energy),4.5470,4.6417,4.6674,2.5535,,,,,,,,seed 8 of the enumerated 8-seed VOLT-REG ensemble [nominal]
V2,VOLT-REG,nominal,V2 genset engine (fuel - shaft),130.8823,131.9583,133.2974,73.0408,239.8318,239.8318,153.8643,64.6595,50.1441,13.1958,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [nominal]
V2,VOLT-REG,nominal,V2 generator + rectifier,4.4168,4.4477,4.4803,2.4549,,,,,,,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [nominal]
V2,VOLT-REG,nominal,V2 traction chain (inverter+motor+reduction),7.7258,7.7425,7.7606,4.2525,,,,,,,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [nominal]
V2,VOLT-REG,nominal,"V2 R15 blend overflow, LUMPED resistor + friction",0.3643,0.5262,0.6151,0.3369,,,,,,,0.0000,seed 3 of the enumerated 8-seed VOLT-REG ensemble [nominal]
ruler,VOLT-REG,payload_p20,ruler engine (fuel - shaft),158.4775,159.0301,159.5770,87.4408,266.9437,261.5584,175.6110,77.9247,60.4314,15.9030,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [payload_p20]
ruler,VOLT-REG,payload_p20,ruler driveline + accessories (shaft - wheel),11.9382,12.0619,12.1358,6.6394,,,,,,,,seed 8 of the enumerated 8-seed VOLT-REG ensemble [payload_p20]
ruler,VOLT-REG,payload_p20,ruler friction brakes (all braking energy),5.2380,5.3303,5.3747,2.9404,,,,,,,,seed 8 of the enumerated 8-seed VOLT-REG ensemble [payload_p20]
V2,VOLT-REG,payload_p20,V2 genset engine (fuel - shaft),138.2573,139.6459,139.8621,76.5372,239.8318,239.8318,167.0549,68.4265,53.0655,13.9646,,seed 6 of the enumerated 8-seed VOLT-REG ensemble [payload_p20]
V2,VOLT-REG,payload_p20,V2 generator + rectifier,4.5484,4.5924,4.5983,2.5179,,,,,,,,seed 6 of the enumerated 8-seed VOLT-REG ensemble [payload_p20]
V2,VOLT-REG,payload_p20,V2 traction chain (inverter+motor+reduction),8.1831,8.2013,8.2188,4.5035,,,,,,,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [payload_p20]
V2,VOLT-REG,payload_p20,"V2 R15 blend overflow, LUMPED resistor + friction",0.6836,0.8900,0.9715,0.5320,,,,,,,0.0000,seed 3 of the enumerated 8-seed VOLT-REG ensemble [payload_p20]
ruler,VOLT-REG,payload_m20,ruler engine (fuel - shaft),152.2738,152.8159,153.0659,83.8692,265.0963,256.6324,167.3293,74.8798,58.0700,15.2816,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [payload_m20]
ruler,VOLT-REG,payload_m20,ruler driveline + accessories (shaft - wheel),12.2035,12.2318,12.3386,6.7607,,,,,,,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [payload_m20]
ruler,VOLT-REG,payload_m20,ruler friction brakes (all braking energy),3.8810,3.9813,4.0035,2.1841,,,,,,,,seed 23 of the enumerated 8-seed VOLT-REG ensemble [payload_m20]
V2,VOLT-REG,payload_m20,V2 genset engine (fuel - shaft),130.0868,131.1130,131.2200,71.8786,239.8318,144.6163,126.7506,64.2454,49.8229,13.1113,,seed 6 of the enumerated 8-seed VOLT-REG ensemble [payload_m20]
V2,VOLT-REG,payload_m20,V2 generator + rectifier,4.4168,4.4516,4.4552,2.4405,,,,,,,,seed 6 of the enumerated 8-seed VOLT-REG ensemble [payload_m20]
V2,VOLT-REG,payload_m20,V2 traction chain (inverter+motor+reduction),7.6646,7.6801,7.6997,4.2191,,,,,,,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [payload_m20]
V2,VOLT-REG,payload_m20,"V2 R15 blend overflow, LUMPED resistor + friction",0.3283,0.4824,0.5719,0.3132,,,,,,,0.0000,seed 3 of the enumerated 8-seed VOLT-REG ensemble [payload_m20]
ruler,VOLT-REG,cold_-10C,ruler engine (fuel - shaft),163.6172,164.2839,164.8374,90.3232,265.6250,261.5584,179.4739,80.4991,62.4279,16.4284,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [cold_-10C]
ruler,VOLT-REG,cold_-10C,ruler driveline + accessories (shaft - wheel),12.4613,12.5753,12.6504,6.9261,,,,,,,,seed 8 of the enumerated 8-seed VOLT-REG ensemble [cold_-10C]
ruler,VOLT-REG,cold_-10C,ruler friction brakes (all braking energy),4.1935,4.3076,4.3361,2.3633,,,,,,,,seed 23 of the enumerated 8-seed VOLT-REG ensemble [cold_-10C]
V2,VOLT-REG,cold_-10C,V2 genset engine (fuel - shaft),141.1914,142.7021,143.0787,78.3681,239.8318,224.8533,147.4296,69.9240,54.2268,14.2702,,seed 3 of the enumerated 8-seed VOLT-REG ensemble [cold_-10C]
V2,VOLT-REG,cold_-10C,V2 generator + rectifier,4.7679,4.7872,4.8111,2.6363,,,,,,,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [cold_-10C]
V2,VOLT-REG,cold_-10C,V2 traction chain (inverter+motor+reduction),8.0798,8.1028,8.1205,4.4496,,,,,,,,seed 4 of the enumerated 8-seed VOLT-REG ensemble [cold_-10C]
V2,VOLT-REG,cold_-10C,"V2 R15 blend overflow, LUMPED resistor + friction",0.3699,0.5348,0.6225,0.3409,,,,,,,0.0249,seed 3 of the enumerated 8-seed VOLT-REG ensemble [cold_-10C]
