# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-REG / nominal / seed 23
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
9.7000,34.4277,0.2576,61.8000,3.0000,1.0000,1506.4984,441.8339,69.7038,4.0926
9.8000,34.7141,0.2577,61.9205,3.0000,1.0000,1519.0292,439.0594,69.8422,4.1056
9.9000,34.9981,0.2578,62.0267,3.0000,1.0000,1531.4569,436.2629,69.9651,4.1177
10.0000,35.2797,0.2578,62.1187,3.0000,1.0000,1543.7808,433.4451,70.0726,4.1291
10.1000,35.5590,0.2579,62.1965,3.0000,1.0000,1555.9999,430.6069,70.1648,4.1397
10.2000,35.8358,0.2580,62.2604,3.0000,1.0000,1568.1136,427.7493,70.2418,4.1495
10.3000,36.1102,0.2580,62.3104,3.0000,1.0000,1580.1211,424.8732,70.3037,4.1586
10.4000,36.3822,0.2581,62.3466,4.0000,1.0000,1188.0759,555.0516,69.0568,3.9946
10.5000,36.6517,0.2581,62.3693,4.0000,1.0000,1196.8767,551.2092,69.0867,3.9823
10.6000,36.9187,0.2582,62.3785,4.0000,1.0000,1205.5968,547.3460,69.1023,3.9715
10.7000,37.1833,0.2582,62.3745,4.0000,1.0000,1214.2357,543.4634,69.1038,3.9611
10.8000,37.4453,0.2583,62.3573,4.0000,1.0000,1222.7929,539.5626,69.0913,3.9529
10.9000,37.7048,0.2584,62.3273,4.0000,1.0000,1231.2683,535.6448,69.0650,3.9542
11.0000,37.9619,0.2584,62.2846,4.0000,1.0000,1239.6613,531.7115,69.0252,3.9548
11.1000,38.2163,0.2585,62.2293,4.0000,1.0000,1247.9716,527.7638,68.9720,3.9547
11.2000,38.4683,0.2585,62.1618,4.0000,1.0000,1256.1991,523.8031,68.9057,3.9538
11.3000,38.7177,0.2586,62.0821,4.0000,1.0000,1264.3433,519.8307,68.8265,3.9524
11.4000,38.9645,0.2586,61.9906,4.0000,1.0000,1272.4041,515.8478,68.7346,3.9502
11.5000,39.2088,0.2587,61.8874,4.0000,1.0000,1280.3812,511.8559,68.6303,3.9475
11.6000,39.4505,0.2587,61.7729,4.0000,1.0000,1288.2744,507.8562,68.5138,3.9441
11.7000,39.6897,0.2587,59.8097,4.0000,1.0000,1296.0837,489.4618,66.4325,3.8379
11.8000,39.9088,0.2588,55.8908,4.0000,1.0000,1303.2380,456.2894,62.2720,3.6228
11.9000,40.1073,0.2588,51.9430,4.0000,1.0000,1309.7227,423.4694,58.0804,3.4060
12.0000,40.2863,0.2589,47.8815,4.0000,1.0000,1315.5670,390.2822,53.7676,3.1826
12.1000,40.4443,0.2589,43.6637,4.0000,1.0000,1320.7278,356.3696,49.2882,2.9503
12.2000,40.5819,0.2589,41.1332,4.0000,1.0000,1325.2203,335.8029,46.6016,2.8116
12.3000,40.7148,0.2590,40.3520,4.0000,1.0000,1329.5595,328.7644,45.7742,2.7700
12.4000,40.8437,0.2590,39.6758,4.0000,1.0000,1333.7674,322.6015,45.0583,2.7342
12.5000,40.9689,0.2590,39.2247,4.0000,1.0000,1337.8568,318.2129,44.5816,2.7109
12.6000,41.0922,0.2591,38.8799,4.0000,1.0000,1341.8854,314.6688,44.2179,2.6934
12.7000,41.2130,0.2591,38.5974,4.0000,1.0000,1345.8291,311.6351,43.9203,2.6794
12.8000,41.3325,0.2591,38.3715,4.0000,1.0000,1349.7323,309.0534,43.6827,2.6685
12.9000,41.4500,0.2591,37.8598,4.0000,1.0000,1353.5686,304.3590,43.1415,2.6417
13.0000,41.5637,0.2592,37.2101,4.0000,1.0000,1357.2805,298.6856,42.4534,2.6091
13.1000,41.6741,0.2592,36.7511,4.0000,1.0000,1360.8869,294.4878,41.9680,2.5871
13.2000,41.7826,0.2592,36.4663,4.0000,1.0000,1364.4276,291.6215,41.6676,2.5742
13.3000,41.8894,0.2592,36.0741,4.0000,1.0000,1367.9157,287.9837,41.2530,2.5556
13.4000,41.9932,0.2592,35.4762,4.0000,1.0000,1371.3075,282.8623,40.6199,2.5261
13.5000,42.0937,0.2592,34.7196,4.0000,1.0000,1374.5879,276.6156,39.8179,2.4881
13.6000,42.1898,0.2593,33.7295,4.0000,1.0000,1377.7275,268.7062,38.7677,2.4376
13.7000,42.2805,0.2593,32.3977,4.0000,1.0000,1380.6899,258.3535,37.3542,2.3687
13.8000,42.3640,0.2593,31.1406,4.0000,1.0000,1383.4149,248.6342,36.0199,2.3034
13.9000,42.4428,0.2593,30.6095,4.0000,1.0000,1385.9880,244.2954,35.4571,2.2765
14.0000,42.5209,0.2593,30.3156,4.0000,1.0000,1388.5373,241.7105,35.1465,2.2623
14.1000,42.5964,0.2593,29.8306,4.0000,1.0000,1391.0045,237.7542,34.6326,2.2377
14.2000,42.6696,0.2593,29.7666,4.0000,1.0000,1393.3935,236.8915,34.5662,2.2356
14.3000,42.7440,0.2593,29.9616,4.0000,1.0000,1395.8233,237.9078,34.7751,2.2474
14.4000,42.8183,0.2593,29.5974,4.0000,1.0000,1398.2493,234.8622,34.3895,2.2292
14.5000,42.8889,0.2593,29.0294,4.0000,1.0000,1400.5549,230.3702,33.7874,2.2001
14.6000,42.9576,0.2593,28.7426,4.0000,1.0000,1402.7997,227.9371,33.4841,2.1859
14.7000,43.0252,0.2593,28.2614,4.0000,1.0000,1405.0057,224.1124,32.9741,2.1612
