vehicle,duty,case,seed,ruler_kWh_per_km,cand_kWh_per_km,ruler_kWh_per_payload_tkm,cand_kWh_per_payload_tkm,margin_per_km_pct,margin_per_payload_pct
V2,VOLT-SUB,cold_-10C,7,1.92043727,1.29034207,0.66221975,0.52431616,32.809986,20.824445
V2,VOLT-SUB,cold_-10C,8,1.92774688,1.28663172,0.66474030,0.52280850,33.257227,21.351467
V2,VOLT-SUB,cold_-10C,9,1.92045228,1.27969268,0.66222492,0.51998890,33.365036,21.478507
V2,VOLT-SUB,alt2000m_45C,11,1.82881572,1.18198460,0.63062611,0.48028631,35.368852,23.839769
V2,VOLT-SUB,alt2000m_45C,3,1.82904252,1.18003864,0.63070432,0.47949559,35.483258,23.974583
V2,VOLT-SUB,alt2000m_45C,4,1.82755104,1.17403473,0.63019001,0.47705597,35.759127,24.299662
V2,VOLT-SUB,alt2000m_45C,5,1.83215211,1.18308170,0.63177659,0.48073210,35.426666,23.907896
V2,VOLT-SUB,alt2000m_45C,6,1.82288360,1.17360547,0.62858055,0.47688154,35.618189,24.133583
V2,VOLT-SUB,alt2000m_45C,7,1.82157932,1.17839379,0.62813080,0.47882722,35.309224,23.769505
V2,VOLT-SUB,alt2000m_45C,8,1.82985868,1.17565039,0.63098575,0.47771247,35.751848,24.291084
V2,VOLT-SUB,alt2000m_45C,9,1.82281256,1.17048130,0.62855605,0.47561207,35.787073,24.332593
