# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-SUB / nominal / seed 11
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
20.4000,48.8270,0.0000,28.1632,5.0000,1.0000,1227.7388,259.5651,33.3719,2.0937
20.5000,48.8797,0.0000,27.5778,5.0000,1.0000,1229.0661,254.3576,32.7377,2.0627
20.6000,48.9302,0.0000,27.0175,5.0000,1.0000,1230.3337,249.3846,32.1308,2.0330
20.7000,48.9783,0.0000,26.4814,5.0000,1.0000,1231.5442,244.6354,31.5499,2.0045
20.8000,49.0243,0.0000,25.9683,5.0000,1.0000,1232.7003,240.1002,30.9941,1.9772
20.9000,49.0682,0.0000,25.4774,5.0000,1.0000,1233.8043,235.7691,30.4622,1.9511
21.0000,49.1101,0.0000,25.0077,5.0000,1.0000,1234.8586,231.6330,29.9534,1.9260
21.1000,49.1502,0.0000,24.5584,5.0000,1.0000,1235.8656,227.6832,29.4666,1.9020
21.2000,49.1884,0.0000,24.1286,5.0000,1.0000,1236.8272,223.9111,29.0010,1.8790
21.3000,49.2249,0.0000,23.7175,5.0000,1.0000,1237.7455,220.3089,28.5557,1.8569
21.4000,49.2598,0.0000,23.3244,5.0000,1.0000,1238.6225,216.8689,28.1297,1.8358
21.5000,49.2931,0.0000,22.9483,5.0000,1.0000,1239.4600,213.5837,27.7223,1.8156
21.6000,49.3249,0.0000,22.5887,5.0000,1.0000,1240.2599,210.4464,27.3327,1.7962
21.7000,49.3553,0.0000,22.2449,5.0000,1.0000,1241.0237,207.4504,26.9602,1.7777
21.8000,49.3843,0.0000,21.9161,5.0000,1.0000,1241.7532,204.5892,26.6040,1.7600
21.9000,49.4120,0.0000,21.6017,5.0000,1.0000,1242.4499,201.8568,26.2634,1.7430
22.0000,49.4385,0.0000,21.3012,5.0000,1.0000,1243.1152,199.2475,25.9378,1.7267
22.1000,49.4637,0.0000,21.0138,5.0000,1.0000,1243.7505,196.7555,25.6265,1.7112
22.2000,49.4879,0.0000,20.6140,5.0000,1.0000,1244.3573,193.3339,25.1931,1.6894
22.3000,49.5100,0.0000,19.9226,5.0000,1.0000,1244.9128,187.4972,24.4434,1.6514
22.4000,49.5287,0.0000,18.9639,5.0000,1.0000,1245.3841,179.4535,23.4037,1.5984
22.5000,49.5434,0.0000,18.0347,5.0000,1.0000,1245.7533,171.6745,22.3958,1.5469
22.6000,49.5550,0.0000,17.4509,5.0000,1.0000,1246.0447,166.7827,21.7627,1.5145
22.7000,49.5652,0.0000,17.2191,5.0000,1.0000,1246.3007,164.8230,21.5114,1.5017
22.8000,49.5749,0.0000,17.4228,5.0000,1.0000,1246.5465,166.4843,21.7325,1.5132
22.9000,49.5866,0.0000,18.0165,5.0000,1.0000,1246.8404,171.3797,22.3768,1.5464
23.0000,49.6009,0.0000,18.3468,5.0000,1.0000,1247.1985,174.0760,22.7354,1.5650
23.1000,49.6150,0.0000,18.1439,5.0000,1.0000,1247.5539,172.3428,22.5155,1.5539
23.2000,49.6276,0.0000,17.8226,5.0000,1.0000,1247.8714,169.6331,22.1671,1.5361
23.3000,49.6393,0.0000,17.4029,5.0000,1.0000,1248.1638,166.1115,21.7120,1.5128
23.4000,49.6486,0.0000,16.8862,5.0000,1.0000,1248.3996,161.7936,21.1516,1.4841
23.5000,49.6563,0.0000,16.7502,5.0000,1.0000,1248.5921,160.6415,21.0042,1.4766
23.6000,49.6646,0.0000,16.8000,5.0000,1.0000,1248.8010,161.0289,21.0584,1.4794
23.7000,49.6726,0.0000,16.4899,5.0000,1.0000,1249.0021,158.4319,20.7221,1.4622
23.8000,49.6785,0.0000,15.9850,5.0000,1.0000,1249.1508,154.2263,20.1745,1.4340
23.9000,49.6826,0.0000,15.4666,5.0000,1.0000,1249.2547,149.9146,19.6121,1.4050
24.0000,49.6846,0.0000,14.7973,5.0000,1.0000,1249.3039,144.3592,18.8861,1.3674
24.1000,49.6836,0.0000,14.2720,5.0000,1.0000,1249.2796,140.0059,18.3162,1.3378
24.2000,49.6816,0.0000,14.3869,5.0000,1.0000,1249.2286,140.9637,18.4407,1.3442
24.3000,49.6815,0.0000,14.8629,5.0000,1.0000,1249.2265,144.9119,18.9572,1.3710
24.4000,49.6831,0.0000,15.4034,5.0000,1.0000,1249.2664,149.3891,19.5435,1.4014
24.5000,49.6871,0.0000,16.1866,5.0000,1.0000,1249.3674,155.8720,20.3933,1.4454
24.6000,49.6947,0.0000,16.9771,5.0000,1.0000,1249.5565,162.4031,21.2510,1.4897
24.7000,49.7046,0.0000,17.4065,5.0000,1.0000,1249.8077,165.9312,21.7170,1.5138
24.8000,49.7154,0.0000,17.6558,5.0000,1.0000,1250.0778,167.9625,21.9876,1.5278
24.9000,49.7272,0.0000,17.8589,5.0000,1.0000,1250.3753,169.6070,22.2082,1.5393
25.0000,49.7394,0.0000,17.8523,5.0000,1.0000,1250.6827,169.5125,22.2012,1.5391
25.1000,49.7512,0.0000,17.7243,5.0000,1.0000,1250.9775,168.4137,22.0625,1.5321
25.2000,49.7624,0.0000,17.5953,5.0000,1.0000,1251.2591,167.3096,21.9228,1.5250
25.3000,49.7731,0.0000,17.4721,5.0000,1.0000,1251.5280,166.2552,21.7894,1.5183
25.4000,49.7833,0.0000,17.3544,5.0000,1.0000,1251.7848,165.2483,21.6618,1.5118
25.5000,49.7930,0.0000,17.2420,5.0000,1.0000,1252.0300,164.2866,21.5400,1.5057
25.6000,49.8023,0.0000,17.1345,5.0000,1.0000,1252.2642,163.3683,21.4236,1.4998
25.7000,49.8112,0.0000,17.0319,5.0000,1.0000,1252.4879,162.4913,21.3124,1.4942
25.8000,49.8197,0.0000,16.9338,5.0000,1.0000,1252.7015,161.6537,21.2062,1.4888
25.9000,49.8278,0.0000,16.8401,5.0000,1.0000,1252.9054,160.8539,21.1047,1.4836
26.0000,49.8356,0.0000,16.7506,5.0000,1.0000,1253.1003,160.0900,21.0077,1.4787
26.1000,49.8430,0.0000,16.6652,5.0000,1.0000,1253.2863,159.3605,20.9151,1.4740
26.2000,49.8500,0.0000,16.5835,5.0000,1.0000,1253.4640,158.6639,20.8266,1.4695
26.3000,49.8568,0.0000,16.5055,5.0000,1.0000,1253.6336,157.9986,20.7421,1.4652
