t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
89,1127.57,49.9521,0,0,15.4017,0,0,0,0,0,0,0,0,0,19.1239,17.1239,15.4017,0,0,0,49.2669,25.2597,0,-19.1239
90,1141.44,49.9698,0,0,15.1963,0,0,0,0,0,0,0,0,0,18.9068,16.9068,15.1963,0,0,0,49.2178,25.2608,0,-18.9068
91,1155.33,49.9809,0,0,15.0667,0,0,0,0,0,0,0,0,0,18.7697,16.7697,15.0667,0,0,0,49.1692,25.2619,0,-18.7697
92,1169.21,49.988,0,0,14.9848,0,0,0,0,0,0,0,0,0,18.6832,16.6832,14.9848,0,0,0,49.1208,25.263,0,-18.6832
93,1183.1,49.9921,0,0,14.9368,0,0,0,0,0,0,0,0,0,18.6324,16.6324,14.9368,0,0,0,49.0727,25.2641,0,-18.6324
94,1196.98,49.995,0,0,14.9028,0,0,0,0,0,0,0,0,0,18.5966,16.5966,14.9028,0,0,0,49.0246,25.2652,0,-18.5966
95,1210.87,49.9969,0,0,14.8814,0,0,0,0,0,0,0,0,0,18.5739,16.5739,14.8814,0,0,0,48.9766,25.2662,0,-18.5739
96,1224.76,49.998,0,0,14.8679,0,0,0,0,0,0,0,0,0,18.5596,16.5596,14.8679,0,0,0,48.9286,25.2673,0,-18.5596
97,1238.65,49.9987,0,0,14.8594,0,0,0,0,0,0,0,0,0,18.5506,16.5506,14.8594,0,0,0,48.8807,25.2684,0,-18.5506
98,1252.54,49.9992,0,0,14.854,0,0,0,0,0,0,0,0,0,18.5449,16.5449,14.854,0,0,0,48.8327,25.2694,0,-18.5449
99,1266.43,49.9919,0,0,13.5947,0,0,0,0,0,0,0,0,0,17.2117,15.2117,13.5947,0,0,0,48.7856,25.2704,0,-17.2117
100,1280.3,49.9546,0,0,14.5069,0,0,0,0,0,0,0,0,0,18.1767,16.1767,14.5069,0,0,0,48.7403,25.2713,0,-18.1767
101,1294.18,49.9043,0,0,12.0779,0,0,0,0,0,0,0,0,0,15.6044,13.6044,12.0779,0,0,0,48.6965,25.2722,0,-15.6044
102,1308.02,49.7593,0,0,12.5809,0,0,0,0,0,0,0,0,0,16.1343,14.1343,12.5809,0,0,0,48.6592,25.2727,0,-16.1343
103,1321.83,49.7412,0,0,16.4961,0,0,0,0,0,0,0,0,0,20.2804,18.2804,16.4961,0,0,0,48.6125,25.2737,0,-20.2804
104,1335.66,49.7756,0,0,14.6,0,0,0,0,0,0,0,0,0,18.2722,16.2722,14.6,0,0,0,48.5628,25.2748,0,-18.2722
105,1349.49,49.7767,0,0,13.6949,0,0,0,0,0,0,0,0,0,17.314,15.314,13.6949,0,0,0,48.5153,25.2759,0,-17.314
106,1363.31,49.734,0,0,12.6118,0,0,0,0,0,0,0,0,0,16.1666,14.1666,12.6118,0,0,0,48.471,25.2767,0,-16.1666
107,1377.12,49.7447,0,0,17.68,0,0,0,0,0,0,0,0,0,21.5425,19.5425,17.68,0,0,0,48.4221,25.2778,0,-21.5425
108,1390.95,49.8389,0,0,16.7125,0,0,0,0,0,0,0,0,0,20.5125,18.5125,16.7125,0,0,0,48.3679,25.2793,0,-20.5125
109,1404.8,49.8983,0,0,16.0248,0,0,0,0,0,0,0,0,0,19.7826,17.7826,16.0248,0,0,0,48.316,25.2806,0,-19.7826
110,1418.67,49.9358,0,0,15.5899,0,0,0,0,0,0,0,0,0,19.3229,17.3229,15.5899,0,0,0,48.2656,25.2817,0,-19.3229
111,1432.54,49.9595,0,0,15.3152,0,0,0,0,0,0,0,0,0,19.0325,17.0325,15.3152,0,0,0,48.2161,25.2829,0,-19.0325
112,1446.42,49.9745,0,0,15.1417,0,0,0,0,0,0,0,0,0,18.8491,16.8491,15.1417,0,0,0,48.1672,25.284,0,-18.8491
113,1460.31,49.9783,0,0,15.058,0,0,0,0,0,0,0,0,0,18.7605,16.7605,15.058,0,0,0,48.1191,25.285,0,-18.7605
114,1474.19,49.9863,0,0,15.0042,0,0,0,0,0,0,0,0,0,18.7038,16.7038,15.0042,0,0,0,48.0706,25.2861,0,-18.7038
115,1488.08,49.9913,0,0,14.9454,0,0,0,0,0,0,0,0,0,18.6416,16.6416,14.9454,0,0,0,48.0224,25.2872,0,-18.6416
