corner,candidate,cycle,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,MJ_per_km,MJ_per_payload_tkm,unserved_kWh,charge_deficit_kWh,fuel_g_charge_correction_signed,correction_share,correction_eta_fuel_to_bus,e_spin_kWh,e_spin_coast_bracket_kWh,e_resistor_kWh,e_engine_brake_kWh,e_friction_brake_kWh,resistor_peak_kW,engine_brake_peak_kW
nominal,S2,REG-165,8105,165,9220.3,64.4232,0.0451282,19105.7,36300,36663.1,37515.9,27.3279,9.73136,0.509343,0,4.12022,852.739,0.0227301,0.406409,0.00109609,5.3589,5.8119,2.61014,0.00556109,314.228,186.578
nominal,S2,REG-165,8106,165,9664.3,61.4634,0.0346426,19105.7,36300,41392.6,41953.1,30.5602,10.8824,0.569587,0,2.69532,560.498,0.0133601,0.404478,0.000926282,5.8933,6.19356,1.54185,0.278227,314.202,188.884
nominal,S2,REG-165,8107,165.001,9349.6,63.5325,0.0218831,19105.7,36300,40239.1,40983,29.8534,10.6307,0.556414,0,3.50938,743.885,0.0181511,0.396811,0.00189754,4.64202,5.07396,1.78927,0.0838333,313.082,179.081
nominal,S2,REG-165,8108,165.001,9363.3,63.4394,0.0360126,19105.7,36300,40899.7,41258,30.0538,10.702,0.560149,0,1.69996,358.363,0.00868589,0.399002,0.00191132,4.60124,6.39494,1.72337,0.0991818,314.412,193.658
nominal,S3,LH-520,8101,520,26847.9,69.7262,0.291396,19559.2,36300,128558,154367,35.6801,12.7055,0.649593,131.604,-12.2582,-2650.87,0.167192,0.388951,0.00227356,16.2773,11.6619,37.9875,0.327092,183.454,200.33
nominal,S3,LH-520,8102,520,25156.9,74.4131,0.340565,19559.2,36300,131622,162622,37.5882,13.385,0.684333,139.626,-0.282685,-62.8895,0.190626,0.37808,0.00221881,18.1568,5.86475,38.6532,0.415994,183.454,222.656
nominal,S3,LH-520,8103,520,26879.6,69.6439,0.318214,19559.2,36300,140389,170920,39.5064,14.0681,0.719254,137.843,3.45088,745.692,0.178631,0.38925,0.00248063,15.7851,9.12003,36.534,0.137971,183.276,212.757
nominal,S3,LH-520,8104,520,29063,64.4119,0.341736,19559.2,36300,124882,164399,37.9989,13.5313,0.691809,164.634,19.2377,4134.43,0.240369,0.391378,0.00124412,14.762,5.94932,35.8679,0.207982,183.45,193.198
nominal,S3,LH-520,8105,520,26323,71.1166,0.365622,19559.2,36300,149207,191295,44.2158,15.7451,0.804993,171.093,21.3938,4677.79,0.220014,0.384685,0.0016225,17.2403,2.91144,36.5569,0.00101123,182.482,216.822
nominal,S3,LH-520,8106,520,26485.9,70.6792,0.290353,19559.2,36300,129599,154000,35.5954,12.6754,0.64805,124.844,-12.9256,-2818.11,0.158447,0.385792,0.003414,15.8822,10.7954,38.238,0.307863,183.454,208.767
nominal,S3,LH-520,8107,520,25609.2,73.0987,0.349912,19559.2,36300,142161,176282,40.7457,14.5094,0.741817,152.403,2.82992,622.037,0.19356,0.382664,0.00440896,17.7702,6.33943,38.3958,0.283098,183.454,219.616
nominal,S3,LH-520,8108,520,27949,66.9792,0.294249,19559.2,36300,120397,147959,34.1991,12.1781,0.622629,137.932,-10.6104,-2296.86,0.186278,0.388559,0.00303371,15.2258,8.28435,37.2996,0.00694074,182.69,196.103
nominal,S3,REG-165,8101,165.001,10190.6,58.2893,0.260522,19559.2,36300,30944.5,41792.3,30.443,10.8406,0.554246,28.315,21.6021,4694.49,0.259564,0.387049,0.00133961,6.583,4.42897,3.25826,0.29545,183.454,209.53
nominal,S3,REG-165,8102,165,11165.2,53.201,0.352888,19559.2,36300,28938.6,47045.5,34.2697,12.2033,0.623915,62.6672,21.4643,4619.58,0.384881,0.390816,0.000737336,6.64174,3.34973,2.57151,0.301587,183.453,209.128
nominal,S3,REG-165,8103,165,10620,55.9323,0.285732,19559.2,36300,32784.1,46014.5,33.5186,11.9358,0.610241,40.2141,21.6021,4623.45,0.287527,0.392996,0.00120206,5.9701,3.93844,2.58479,0.118649,183.449,190.741
nominal,S3,REG-165,8104,165,10417.4,57.02,0.266081,19559.2,36300,29587.2,40395.7,29.4258,10.4784,0.535726,28.4749,21.6021,4662.53,0.267565,0.389702,0.00187543,6.55052,3.81598,3.5332,0.371054,183.454,209.661
nominal,S3,REG-165,8105,165.001,9769.5,60.8018,0.228024,19559.2,36300,30764.7,37855.6,27.5754,9.81947,0.502038,11.1321,21.6021,4679.47,0.187315,0.388292,0.000862187,6.58507,4.66622,3.47945,0.2124,183.44,200.279
nominal,S3,REG-165,8106,165,10355.5,57.3608,0.231334,19559.2,36300,34112.9,41933.8,30.5462,10.8774,0.556125,15.1141,21.6021,4601.46,0.186506,0.394875,0.000848911,6.39653,4.91197,2.31221,0.750632,183.454,204.411
nominal,S3,REG-165,8107,165.001,10184.5,58.3242,0.243966,19559.2,36300,30883.7,40987.8,29.8569,10.6319,0.543576,25.4668,21.6021,4637.25,0.246515,0.391827,0.000929174,6.09156,3.8779,2.62531,0.329812,183.454,192.672
nominal,S3,REG-165,8108,165,9711.4,61.1653,0.189837,19559.2,36300,34869,41430.7,30.1797,10.7469,0.549452,8.86702,21.6021,4652.13,0.158378,0.390573,0.00125971,5.74751,4.84236,2.44067,0.536376,183.454,207.799
nominal,S4,LH-520,8101,520,21846.1,85.6904,0.0888438,19343.6,36300,145215,152341,35.2118,12.5388,0.648215,31.5216,2.02306,429.748,0.0467749,0.395961,0.00226328,36.8,0.10498,0,0.167231,47.7318,0
nominal,S4,LH-520,8102,520,20161.1,92.8522,0.135369,19343.6,36300,148520,157372,36.3748,12.9529,0.669624,35.0876,6.6458,1409.57,0.0562464,0.396571,0.00260343,38.1196,0.15026,0,0.306186,47.734,0
nominal,S4,LH-520,8103,520,21689.8,86.3079,0.107045,19343.6,36300,162794,171710,39.6889,14.133,0.730633,37.9097,4.12522,875.02,0.0519261,0.39654,0.00301387,36.9017,0.0686341,0,0.0709806,46.8476,0
nominal,S4,LH-520,8104,520,22683.2,82.5281,0.0796798,19343.6,36300,160065,167790,38.7829,13.8104,0.713955,33.5093,2.92749,620.662,0.0460397,0.396733,0.00177868,36.2817,0.0771861,0,0.0570161,47.7337,0
nominal,S4,LH-520,8105,520,20708.1,90.3995,0.136564,19343.6,36300,175915,192915,44.5902,15.8784,0.820861,67.6082,12.5148,2655.27,0.0881203,0.396436,0.000431582,37.8085,0.0211325,0,0.020007,43.7999,0
nominal,S4,LH-520,8106,520,21574.8,86.768,0.104978,19343.6,36300,144183,150728,34.8391,12.4061,0.641353,27.4897,3.34875,710.745,0.0434239,0.396303,0.00480399,37.1063,0.109513,0,0.161504,47.7337,0
nominal,S4,LH-520,8107,520,20497.9,91.3265,0.131632,19343.6,36300,161496,173764,40.1636,14.3021,0.739373,47.8635,9.96415,2113.84,0.0706004,0.396486,0.00256324,37.7649,0.122149,0,0.195798,47.7332,0
nominal,S4,LH-520,8108,520,22477.1,83.2848,0.0783283,19343.6,36300,140084,147150,34.0122,12.1116,0.62613,31.4186,1.82252,387.444,0.0480232,0.39566,0.00216945,36.4256,0.0070093,0,0.0263628,46.8074,0
nominal,S4,REG-165,8101,165,9476.8,62.6794,0.0388946,19343.6,36300,42955,43548.8,31.7226,11.2963,0.583982,0,2.7923,593.805,0.0136354,0.395528,0.00162416,11.2165,0.136481,0,0.0783377,47.6613,0
nominal,S4,REG-165,8102,165,9354.4,63.4995,0.0372655,19343.6,36300,50367.7,50669,36.9092,13.1432,0.679463,0,1.41703,301.254,0.00594552,0.395644,0.000713124,11.2122,0.110179,0,0.168513,47.732,0
nominal,S4,REG-165,8103,165.001,9465,62.7577,0.0449124,19343.6,36300,48753.4,49296.9,35.9096,12.7873,0.661061,0,2.55418,543.491,0.0110248,0.395292,0.00140214,11.1786,0.0751665,0,0.0382754,47.7269,0
nominal,S4,REG-165,8104,165.001,9417.7,63.0731,0.0370681,19343.6,36300,41990.2,42437.6,30.913,11.008,0.569078,0,2.10541,447.462,0.010544,0.395767,0.00105689,11.2439,0.126066,0,0.286495,47.7325,0
nominal,S4,REG-165,8105,165,9214.9,64.4609,0.0479219,19343.6,36300,39117.4,39517.4,28.786,10.2506,0.529922,0,1.88136,400.038,0.0101231,0.395576,0.00144235,11.223,0.103126,0,0.100641,47.7126,0
nominal,S4,REG-165,8106,165,9657.3,61.508,0.0313542,19343.6,36300,44352.4,44709.8,32.5682,11.5974,0.599549,0,1.67785,357.359,0.00799286,0.394918,0.00115108,11.1687,0.195728,0,0.351189,47.7336,0
nominal,S4,REG-165,8107,165.001,9351.6,63.5188,0.0171199,19343.6,36300,43615.7,43946.2,32.012,11.3993,0.589309,0,1.55507,330.563,0.007522,0.395688,0.00211919,11.2153,0.131721,0,0.101353,47.732,0
