# `margin_vs_S0_per_km_pct` is the PAIRED per-seed per-km margin (r2 finding M2): candidate seed i against S0 seed i. The report's per-km claims are made on the median of this column, never on a ratio of medians.
corner,candidate,seed,payload_t,L_per_100km,MJ_per_km,MJ_per_payload_tkm,MJ_per_payload_tkm_credit_free,margin_vs_S0_pct,margin_vs_S0_pct_credit_free,margin_vs_S0_per_km_pct
nominal,S4,8104,19.3436,36.4219,12.9697,0.670492,0.670492,-1.55813,-1.55813,5.48491
nominal,S4,8105,19.3436,39.8489,14.19,0.733579,0.733579,-3.84184,-3.84184,3.35957
nominal,S4,8106,19.3436,34.1578,12.1635,0.628812,0.628812,1.97839,1.97839,8.77617
nominal,S4,8107,19.3436,37.7181,13.4313,0.694354,0.694354,-1.51373,-1.51373,5.52623
nominal,S4,8108,19.3436,33.3879,11.8893,0.614639,0.614639,1.10164,1.10164,7.96022
payload_plus20,S0,8101,24.942,39.9445,14.2241,0.570285,0.570285,,,
payload_plus20,S0,8102,24.942,41.6587,14.8345,0.59476,0.59476,,,
payload_plus20,S0,8103,24.942,43.0687,15.3366,0.614891,0.614891,,,
payload_plus20,S0,8104,24.942,41.176,14.6626,0.587868,0.587868,,,
payload_plus20,S0,8105,24.942,43.7322,15.5729,0.624364,0.624364,,,
payload_plus20,S0,8106,24.942,40.1545,14.2988,0.573284,0.573284,,,
payload_plus20,S0,8107,24.942,42.5039,15.1355,0.606826,0.606826,,,
payload_plus20,S0,8108,24.942,38.8965,13.8509,0.555324,0.555324,,,
payload_plus20,S1,8101,23.2773,36.0724,12.8452,0.551836,0.551836,3.2352,3.2352,9.6937
payload_plus20,S1,8102,23.2773,38.0105,13.5354,0.581486,0.581486,2.23192,2.23192,8.75739
payload_plus20,S1,8103,23.2773,39.9571,14.2286,0.611264,0.611264,0.589861,0.589861,7.22492
payload_plus20,S1,8104,23.2773,38.0497,13.5494,0.582085,0.582085,0.983705,0.983705,7.59248
payload_plus20,S1,8105,23.2773,40.7528,14.5119,0.623438,0.623438,0.148261,0.148261,6.8128
payload_plus20,S1,8106,23.2773,36.1651,12.8783,0.553255,0.553255,3.49382,3.49382,9.93506
payload_plus20,S1,8107,23.2773,39.1813,13.9523,0.599397,0.599397,1.22431,1.22431,7.81703
payload_plus20,S1,8108,23.2773,35.2556,12.5544,0.539341,0.539341,2.87811,2.87811,9.36045
payload_plus20,S2,8101,22.9269,35.3414,12.5849,0.548917,0.552994,3.74703,3.03201,11.5236
payload_plus20,S2,8102,22.9269,37.1954,13.2451,0.577713,0.582011,2.86621,2.14365,10.7139
payload_plus20,S2,8103,22.9269,38.546,13.7261,0.59869,0.60341,2.63484,1.86721,10.5013
payload_plus20,S2,8104,22.9269,36.6824,13.0625,0.569745,0.571628,3.08284,2.76264,10.9131
payload_plus20,S2,8105,22.9269,39.6054,14.1033,0.615144,0.615144,1.47663,1.47663,9.43662
payload_plus20,S2,8106,22.9269,35.3153,12.5757,0.548512,0.552405,4.32112,3.642,12.0513
payload_plus20,S2,8107,22.9269,38.0745,13.5582,0.591366,0.59545,2.54769,1.87465,10.4211
payload_plus20,S2,8108,22.9269,34.2188,12.1852,0.531481,0.53744,4.29359,3.22047,12.026
payload_plus20,S3,8101,23.4711,36.3061,12.9284,0.550824,0.557416,3.41252,2.25669,9.10865
payload_plus20,S3,8102,23.4711,38.8359,13.8293,0.589206,0.589206,0.933887,0.933887,6.77618
payload_plus20,S3,8103,23.4711,39.8814,14.2016,0.605068,0.605068,1.59749,1.59749,7.40065
payload_plus20,S3,8104,23.4711,37.6338,13.4012,0.570968,0.570968,2.87479,2.87479,8.60262
payload_plus20,S3,8105,23.4711,41.5355,14.7906,0.630165,0.630165,-0.929107,-0.929107,5.02306
payload_plus20,S3,8106,23.4711,36.2972,12.9253,0.550689,0.556743,3.94127,2.88529,9.60621
