# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: V3307-V1C-W  (Kubota V3307-CR-T class, 55.4 kW rated)
# displacement_l: 3.331, eta_i0: 0.435, fmep_bar(a0,a1,a2): (0.9, 0.32, 0.09), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
1011,110.1200,257.3
1011,113.6400,255.4
1011,117.1600,253.6
1011,120.6800,251.9
1011,124.2000,250.3
1011,127.7200,248.8
1011,131.2400,247.4
1011,134.7600,246.0
1011,138.2800,244.7
1011,141.8000,243.5
1011,145.3200,242.3
1011,148.8400,241.2
1011,152.3600,240.2
1011,155.8800,239.2
1011,159.4000,238.2
1011,162.9200,237.3
1011,166.4400,236.4
1011,169.9600,235.5
1011,173.4800,234.7
1011,177.0000,233.9
1011,180.5200,233.2
1011,184.0400,232.5
1011,187.5600,232.7
1011,191.0800,233.4
1011,194.6000,234.0
1011,198.1200,234.8
1011,201.6400,235.5
1011,205.1600,236.3
1011,208.6800,237.1
1011,212.2000,237.9
1011,215.7200,238.8
1029,1.0000,7421.0
1029,4.5200,1798.5
1029,8.0400,1098.8
1029,11.5600,825.0
1029,15.0800,678.9
1029,18.6000,587.9
1029,22.1200,525.8
1029,25.6400,480.6
1029,29.1600,446.3
1029,32.6800,419.2
1029,36.2000,397.4
1029,39.7200,379.4
1029,43.2400,364.2
1029,46.7600,351.3
1029,50.2800,340.1
1029,53.8000,330.4
1029,57.3200,321.8
1029,60.8400,314.1
1029,64.3600,307.3
1029,67.8800,301.1
1029,71.4000,295.5
1029,74.9200,290.4
1029,78.4400,285.7
1029,81.9600,281.4
1029,85.4800,277.5
1029,89.0000,273.8
1029,92.5200,270.4
1029,96.0400,267.2
1029,99.5600,264.2
1029,103.0800,261.8
1029,106.6000,259.6
1029,110.1200,257.6
1029,113.6400,255.7
1029,117.1600,253.8
1029,120.6800,252.1
1029,124.2000,250.5
1029,127.7200,249.0
1029,131.2400,247.6
1029,134.7600,246.2
1029,138.2800,244.9
1029,141.8000,243.7
1029,145.3200,242.5
1029,148.8400,241.4
1029,152.3600,240.3
1029,155.8800,239.3
1029,159.4000,238.3
1029,162.9200,237.4
1029,166.4400,236.5
