corner,duty,candidate,seed,margin_vs_ruler_pct
payload_minus20,GH-REG-165,S5-13L,8108,6.06275
payload_minus20,GH-REG-165,S6,8101,7.65853
payload_minus20,GH-REG-165,S6,8102,7.5605
payload_minus20,GH-REG-165,S6,8103,7.61403
payload_minus20,GH-REG-165,S6,8104,7.39986
payload_minus20,GH-REG-165,S6,8105,7.61495
payload_minus20,GH-REG-165,S6,8106,7.47219
payload_minus20,GH-REG-165,S6,8107,7.28607
payload_minus20,GH-REG-165,S6,8108,7.38506
payload_minus20,GH-REG-165,S7,8101,7.3216
payload_minus20,GH-REG-165,S7,8102,4.21372
payload_minus20,GH-REG-165,S7,8103,4.72244
payload_minus20,GH-REG-165,S7,8104,6.2835
payload_minus20,GH-REG-165,S7,8105,8.47075
payload_minus20,GH-REG-165,S7,8106,6.23063
payload_minus20,GH-REG-165,S7,8107,5.59563
payload_minus20,GH-REG-165,S7,8108,5.38233
payload_minus20,GH-REG-165,S4p,8101,17.6483
payload_minus20,GH-REG-165,S4p,8102,12.926
payload_minus20,GH-REG-165,S4p,8103,14.048
payload_minus20,GH-REG-165,S4p,8104,17.9856
payload_minus20,GH-REG-165,S4p,8105,21.6987
payload_minus20,GH-REG-165,S4p,8106,18.1299
payload_minus20,GH-REG-165,S4p,8107,15.8822
payload_minus20,GH-REG-165,S4p,8108,16.2121
payload_minus20,LH-520,S5,8101,-4.85838
payload_minus20,LH-520,S5,8102,-6.36613
payload_minus20,LH-520,S5,8103,-4.32172
payload_minus20,LH-520,S5,8104,-4.07632
payload_minus20,LH-520,S5,8105,-8.12961
payload_minus20,LH-520,S5,8106,-5.18405
payload_minus20,LH-520,S5,8107,-6.80335
payload_minus20,LH-520,S5,8108,-3.8674
payload_minus20,LH-520,S5-13L,8101,-2.32425
payload_minus20,LH-520,S5-13L,8102,-2.5591
payload_minus20,LH-520,S5-13L,8103,-1.73082
payload_minus20,LH-520,S5-13L,8104,-1.80406
payload_minus20,LH-520,S5-13L,8105,-3.26389
payload_minus20,LH-520,S5-13L,8106,-2.03277
payload_minus20,LH-520,S5-13L,8107,-3.10903
payload_minus20,LH-520,S5-13L,8108,-1.35112
payload_minus20,LH-520,S6,8101,7.18726
payload_minus20,LH-520,S6,8102,7.27737
payload_minus20,LH-520,S6,8103,7.45877
payload_minus20,LH-520,S6,8104,7.36829
payload_minus20,LH-520,S6,8105,7.53092
payload_minus20,LH-520,S6,8106,7.39439
payload_minus20,LH-520,S6,8107,7.35052
payload_minus20,LH-520,S6,8108,7.36226
payload_minus20,LH-520,S7,8101,0.285625
payload_minus20,LH-520,S7,8102,-0.505078
payload_minus20,LH-520,S7,8103,-0.852518
payload_minus20,LH-520,S7,8104,-0.551645
payload_minus20,LH-520,S7,8105,-1.92437
payload_minus20,LH-520,S7,8106,-0.125178
payload_minus20,LH-520,S7,8107,-0.975694
