# Project Volt WS9 - R34 10 Hz trace
# S0R (Conventional 13 L diesel + 12-speed AMT with a direct top gear, + hydraulic retarder (ESC-6)) / duty GH-REG-165 / corner nominal / seed 8101
# GCW 36300.0 kg, payload 20655.0 kg, powertrain 2975.0 kg
# columns: t [s], v [m/s], s [m], grade [-], and the four commanded force channels at the CONTACT PATCH [N] - traction, regenerative braking, retarder, friction brake. The integrator never commands traction and a braking channel on the same sample.
# electrical quantities are NOT in this file; they are per-candidate dispatch and live in results_ws9.json
t,v,s,grade,F_trac,F_regen,F_retard,F_friction
15.2000,8.3600,63.5360,-0.0008,23053.7398,0.0000,0.0000,0.0000
15.3000,8.4150,64.3747,-0.0008,23054.7981,0.0000,0.0000,0.0000
15.4000,8.4700,65.2190,-0.0008,23055.8657,0.0000,0.0000,0.0000
15.5000,8.5250,66.0687,-0.0008,23056.9425,0.0000,0.0000,0.0000
15.6000,8.5800,66.9240,-0.0008,23058.0285,0.0000,0.0000,0.0000
15.7000,8.6350,67.7847,-0.0008,23059.1237,0.0000,0.0000,0.0000
15.8000,8.6900,68.6510,-0.0008,23060.2281,0.0000,0.0000,0.0000
15.9000,8.7450,69.5227,-0.0008,23061.3418,0.0000,0.0000,0.0000
16.0000,8.8000,70.4000,-0.0008,23062.4647,0.0000,0.0000,0.0000
16.1000,8.8550,71.2827,-0.0008,23063.5968,0.0000,0.0000,0.0000
16.2000,8.9100,72.1710,-0.0008,23064.7382,0.0000,0.0000,0.0000
16.3000,8.9650,73.0647,-0.0008,23065.8887,0.0000,0.0000,0.0000
16.4000,9.0200,73.9640,-0.0008,23067.0485,0.0000,0.0000,0.0000
16.5000,9.0750,74.8687,-0.0008,23068.2175,0.0000,0.0000,0.0000
16.6000,9.1300,75.7790,-0.0008,23069.5620,0.0000,0.0000,0.0000
16.7000,9.1850,76.6947,-0.0009,23070.9449,0.0000,0.0000,0.0000
16.8000,9.2400,77.6160,-0.0009,23072.3382,0.0000,0.0000,0.0000
16.9000,9.2950,78.5427,-0.0009,23073.7419,0.0000,0.0000,0.0000
17.0000,9.3500,79.4750,-0.0009,23075.1560,0.0000,0.0000,0.0000
17.1000,9.4050,80.4127,-0.0009,23076.5805,0.0000,0.0000,0.0000
17.2000,9.4600,81.3560,-0.0009,23078.0154,0.0000,0.0000,0.0000
17.3000,9.5150,82.3047,-0.0009,23079.4607,0.0000,0.0000,0.0000
17.4000,9.5700,83.2590,-0.0009,23080.9164,0.0000,0.0000,0.0000
17.5000,9.6250,84.2187,-0.0009,23082.3825,0.0000,0.0000,0.0000
17.6000,9.6800,85.1840,-0.0009,23083.8589,0.0000,0.0000,0.0000
17.7000,9.7350,86.1547,-0.0009,23085.3458,0.0000,0.0000,0.0000
17.8000,9.7900,87.1310,-0.0009,23086.8431,0.0000,0.0000,0.0000
17.9000,9.8450,88.1127,-0.0009,23088.3508,0.0000,0.0000,0.0000
18.0000,9.9000,89.1000,-0.0009,23089.8688,0.0000,0.0000,0.0000
18.1000,9.9550,90.0927,-0.0009,23091.3973,0.0000,0.0000,0.0000
18.2000,10.0100,91.0910,-0.0009,23092.9362,0.0000,0.0000,0.0000
18.3000,10.0650,92.0947,-0.0009,23094.4854,0.0000,0.0000,0.0000
18.4000,10.1200,93.1040,-0.0009,23096.0451,0.0000,0.0000,0.0000
18.5000,10.1750,94.1187,-0.0009,23097.6151,0.0000,0.0000,0.0000
18.6000,10.2300,95.1390,-0.0009,23099.1956,0.0000,0.0000,0.0000
18.7000,10.2850,96.1647,-0.0009,23100.7865,0.0000,0.0000,0.0000
18.8000,10.3400,97.1960,-0.0009,23102.3877,0.0000,0.0000,0.0000
