corner,candidate,duty,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,grid_kWh,MJ_primary_per_payload_tkm,MJ_tank_per_payload_tkm,g_CO2_per_payload_tkm,unserved_kWh,charge_deficit_kWh,correction_share,correction_eta
nominal,S7,GH-REG-165,8104,165,9773.6,60.776,0.158384,19845.5,36300,53978.5,55316.6,40.2947,0,0.860398,0.723024,63.7587,2.78882,3.25652,0.0241907,0.379993
nominal,S7,GH-REG-165,8105,165.001,9655.3,61.5208,0.170091,19845.5,36300,51858.8,53110.1,38.6873,0,0.826076,0.694182,61.2153,2.73717,2.89944,0.0235607,0.378889
nominal,S7,GH-REG-165,8106,165.001,10035.4,59.1907,0.167705,19845.5,36300,57325,58729.8,42.7808,0,0.913484,0.767634,67.6925,3.10246,3.25652,0.0239199,0.38074
nominal,S7,GH-REG-165,8107,165.001,9600.6,61.8714,0.155468,19845.5,36300,54532.1,55833.6,40.6711,0,0.868437,0.729779,64.3543,2.62035,3.25652,0.0233099,0.379812
nominal,S7,GH-REG-165,8108,165.001,9672.5,61.4114,0.151397,19845.5,36300,53270.2,54662.9,39.8184,0,0.850228,0.714478,63.005,3.00789,3.25652,0.0254778,0.378343
nominal,S7,LH-520,8101,520,22058.4,84.8657,0.123073,19845.5,36300,155208,157369,36.3741,0,0.776683,0.652675,57.555,6.67568,3.23003,0.0137292,0.385639
nominal,S7,LH-520,8102,520,20377.6,91.8656,0.169376,19845.5,36300,159344,161852,37.4104,0,0.79881,0.671269,59.1948,8.21788,3.22506,0.0154978,0.383713
nominal,S7,LH-520,8103,520,21919.8,85.4023,0.149353,19845.5,36300,171115,173541,40.112,0,0.856497,0.719745,63.4696,7.95676,3.22577,0.0139751,0.387831
nominal,S7,LH-520,8104,520,22868.7,81.8587,0.114186,19845.5,36300,165671,167744,38.7722,0,0.82789,0.695706,61.3497,6.32347,3.222,0.01236,0.387247
nominal,S7,LH-520,8105,520,20978,89.2364,0.179306,19845.5,36300,185617,188275,43.5176,0,0.929216,0.780854,68.8583,9.07151,3.22388,0.0141166,0.389116
nominal,S7,LH-520,8106,520,21747.2,86.0801,0.125965,19845.5,36300,155213,157371,36.3745,0,0.776691,0.652682,57.5557,6.64053,3.23015,0.0137117,0.38476
nominal,S7,LH-520,8107,520,20747.1,90.2295,0.178959,19845.5,36300,173135,175825,40.6399,0,0.86777,0.729219,64.3049,9.1151,3.23216,0.0152979,0.386116
nominal,S7,LH-520,8108,520,22661.6,82.6068,0.106501,19845.5,36300,149910,151840,35.0962,0,0.749398,0.629746,55.5331,5.5993,3.22264,0.0127154,0.384331
nominal,S4p,GH-REG-165,8101,165,9645.2,61.5852,0.085679,20134.4,36300,24022.6,33346.5,24.2908,110.818,0.76341,0.429606,47.2241,43.412,0,0.279605,0.391628
nominal,S4p,GH-REG-165,8102,165,9509.3,62.4652,0.0722759,20134.4,36300,32377.3,42239.7,30.769,110.771,0.899647,0.544179,57.3236,45.8008,0,0.233486,0.390616
nominal,S4p,GH-REG-165,8103,165.001,9648.9,61.5617,0.0853871,20134.4,36300,28988.2,38612.2,28.1264,110.873,0.844261,0.497444,53.2108,44.7975,0,0.249247,0.391523
nominal,S4p,GH-REG-165,8104,165,9550.7,62.1945,0.0755434,20134.4,36300,25005.6,33536.4,24.4292,110.8,0.766283,0.432054,47.4384,39.4809,0,0.254373,0.389276
nominal,S4p,GH-REG-165,8105,165,9418.7,63.0661,0.0825689,20134.4,36300,21183.7,30498.1,22.2159,110.66,0.719382,0.392911,43.9748,43.3195,0,0.30541,0.391189
